circuit_id,name,lat,long,locality,country,Wikipedia_url 
adelaide,Adelaide Street Circuit,-34.9272,138.617,Adelaide,Australia,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit
jerez,Circuito de Jerez,36.7083,-6.03417,Jerez de la Frontera,Spain,https://en.wikipedia.org/wiki/Circuito_de_Jerez
hungaroring,Hungaroring,47.5789,19.2486,Budapest,Hungary,https://en.wikipedia.org/wiki/Hungaroring
suzuka,Suzuka Circuit,34.8431,136.541,Suzuka,Japan,https://en.wikipedia.org/wiki/Suzuka_Circuit
phoenix,Phoenix street circuit,33.4479,-112.075,Phoenix,United States,https://en.wikipedia.org/wiki/Phoenix_street_circuit
magny_cours,Circuit de Nevers Magny-Cours,46.8642,3.16361,Magny Cours,France,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
catalunya,Circuit de Barcelona-Catalunya,41.57,2.26111,Montmeló,Spain,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
donington,Donington Park,52.8306,-1.37528,Castle Donington,United Kingdom,https://en.wikipedia.org/wiki/Donington_Park
okayama,Okayama International Circuit,34.915,134.221,Okayama,Japan,https://en.wikipedia.org/wiki/Okayama_International_Circuit
albert_park,Albert Park Grand Prix Circuit,-37.8497,144.968,Melbourne,Australia,https://en.wikipedia.org/wiki/Albert_Park_Circuit
sepang,Sepang International Circuit,2.76083,101.738,Kuala Lumpur,Malaysia,https://en.wikipedia.org/wiki/Sepang_International_Circuit
bahrain,Bahrain International Circuit,26.0325,50.5106,Sakhir,Bahrain,https://en.wikipedia.org/wiki/Bahrain_International_Circuit
shanghai,Shanghai International Circuit,31.3389,121.22,Shanghai,China,https://en.wikipedia.org/wiki/Shanghai_International_Circuit
istanbul,Istanbul Park,40.9517,29.405,Istanbul,Turkey,https://en.wikipedia.org/wiki/Istanbul_Park
valencia,Valencia Street Circuit,39.4589,-0.331667,Valencia,Spain,https://en.wikipedia.org/wiki/Valencia_Street_Circuit
marina_bay,Marina Bay Street Circuit,1.2914,103.864,Marina Bay,Singapore,https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
yas_marina,Yas Marina Circuit,24.4672,54.6031,Abu Dhabi,United Arab Emirates,https://en.wikipedia.org/wiki/Yas_Marina_Circuit
yeongam,Korean International Circuit,34.7333,126.417,Yeongam County,South Korea,https://en.wikipedia.org/wiki/Korea_International_Circuit
buddh,Buddh International Circuit,28.3487,77.5331,Uttar Pradesh,India,https://en.wikipedia.org/wiki/Buddh_International_Circuit
americas,Circuit of the Americas,30.1328,-97.6411,Austin,United States,https://en.wikipedia.org/wiki/Circuit_of_the_Americas
sochi,Sochi Autodrom,43.4057,39.9578,Sochi,Russia,https://en.wikipedia.org/wiki/Sirius_Autodrom
baku,Baku City Circuit,40.3725,49.8533,Baku,Azerbaijan,https://en.wikipedia.org/wiki/Baku_City_Circuit
mugello,Autodromo Internazionale del Mugello,43.9975,11.3719,Mugello,Italy,https://en.wikipedia.org/wiki/Mugello_Circuit
portimao,Aut�dromo Internacional do Algarve,37.227,-8.6267,Portimão,Portugal,https://en.wikipedia.org/wiki/Algarve_International_Circuit
losail,Losail International Circuit,25.49,51.4542,Al Daayen,Qatar,https://en.wikipedia.org/wiki/Lusail_International_Circuit
jeddah,Jeddah Corniche Circuit,21.6319,39.1044,Jeddah,Saudi Arabia,https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit
miami,Miami International Autodrome,25.9581,-80.2389,Miami,United States,https://en.wikipedia.org/wiki/Miami_International_Autodrome
